Landkreis,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
LK Ahrweiler,07131,429,3,372
LK Aichach-Friedberg,09771,617,20,507
LK Alb-Donau-Kreis,08425,1137,26,901
LK Altenburger Land,16077,142,4,110
LK Altenkirchen,07132,391,12,261
LK Altmarkkreis Salzwedel,15081,64,1,53
LK Altötting,09171,781,57,700
LK Alzey-Worms,07331,484,11,398
LK Amberg-Sulzbach,09371,577,54,503
LK Ammerland,03451,253,5,236
LK Anhalt-Bitterfeld,15082,134,2,111
LK Ansbach,09571,793,28,695
LK Aschaffenburg,09671,814,42,702
LK Augsburg,09772,995,13,699
LK Aurich,03452,345,9,263
LK Bad Dürkheim,07332,494,13,398
LK Bad Kissingen,09672,316,18,279
LK Bad Kreuznach,07133,430,7,352
LK Bad Tölz-Wolfratshausen,09173,711,10,634
LK Bamberg,09471,598,38,487
LK Barnim,12060,560,29,493
LK Bautzen,14625,881,24,651
LK Bayreuth,09472,485,28,431
LK Berchtesgadener Land,09172,769,25,435
LK Bergstraße,06431,921,3,690
LK Bernkastel-Wittlich,07231,364,2,279
LK Biberach,08426,978,38,858
LK Birkenfeld,07134,230,3,131
LK Bitburg-Prüm,07232,540,6,313
LK Bodenseekreis,08435,641,8,564
LK Borken,05554,1699,41,1422
LK Breisgau-Hochschwarzwald,08315,1728,72,1491
LK Burgenlandkreis,15084,282,5,198
LK Böblingen,08115,2574,51,2111
LK Börde,15083,228,13,201
LK Calw,08235,1062,29,937
LK Celle,03351,425,17,321
LK Cham,09372,642,21,525
LK Cloppenburg,03453,1229,2,785
LK Coburg,09473,465,30,426
LK Cochem-Zell,07135,202,1,173
LK Coesfeld,05558,1141,25,1013
LK Cuxhaven,03352,489,21,425
LK Dachau,09174,1418,35,1259
LK Dahme-Spreewald,12061,423,8,363
LK Darmstadt-Dieburg,06432,980,22,764
LK Deggendorf,09271,572,20,479
LK Diepholz,03251,775,28,639
LK Dillingen a.d.Donau,09773,430,29,361
LK Dingolfing-Landau,09279,1055,11,993
LK Dithmarschen,01051,289,5,235
LK Donau-Ries,09779,591,26,479
LK Donnersbergkreis,07333,209,9,176
LK Düren,05358,1365,43,1054
LK Ebersberg,09175,928,7,802
LK Eichsfeld,16061,288,11,173
LK Eichstätt,09176,504,20,422
LK Elbe-Elster,12062,154,3,112
LK Emmendingen,08316,845,44,668
LK Emsland,03454,1271,25,933
LK Ennepe-Ruhr-Kreis,05954,1204,16,969
LK Enzkreis,08236,1047,29,874
LK Erding,09177,946,11,875
LK Erlangen-Höchstadt,09572,458,11,396
LK Erzgebirgskreis,14521,1582,55,902
LK Esslingen,08116,3739,124,2870
LK Euskirchen,05366,864,29,784
LK Forchheim,09474,353,4,311
LK Freising,09178,1483,47,1250
LK Freudenstadt,08237,739,39,631
LK Freyung-Grafenau,09272,299,13,244
LK Friesland,03455,137,2,120
LK Fulda,06631,724,17,626
LK Fürstenfeldbruck,09179,1728,38,1407
LK Fürth,09573,684,59,562
LK Garmisch-Partenkirchen,09180,465,20,418
LK Germersheim,07334,461,9,391
LK Gießen,06531,730,6,546
LK Gifhorn,03151,324,5,262
LK Goslar,03153,347,27,299
LK Gotha,16067,417,31,347
LK Grafschaft Bentheim,03456,578,18,376
LK Greiz,16076,734,48,661
LK Groß-Gerau,06433,1586,20,1027
